#名称,分类号,装备外观,物品外观,特殊能量,最低防御,最大防御,最低魔御,最大魔御,最低攻击,最大攻击,最低魔法,最大魔法,最低道术,最大道术,魔法命中,中毒命中,重量,最大持久,价格,需求类型,需求等级,,,,,,
#衣服,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗布衣(男),10,1,117,0,2,2,0,1,0,0,0,0,0,0,0,0,5,5,120,0,1,,,,,,
粗布衣(女),11,1,125,0,2,2,0,1,0,0,0,0,0,0,0,0,5,5,120,0,1,,,,,,
轻盔(男),10,2,118,0,3,3,1,2,0,0,0,0,0,0,0,0,8,8,3000,0,11,,,,,,
轻盔(女),11,2,126,0,3,3,1,2,0,0,0,0,0,0,0,0,8,8,3000,0,11,,,,,,
中盔(男),10,2,118,0,3,5,1,2,0,0,0,0,0,0,0,0,12,12,6000,0,16,,,,,,
中盔(女),11,2,126,0,3,5,1,2,0,0,0,0,0,0,0,0,12,12,6000,0,16,,,,,,
重盔(男),10,3,119,0,4,7,2,3,0,0,0,0,0,0,0,0,23,25,12000,0,16,,,,,,
重盔(女),11,3,127,0,4,7,2,3,0,0,0,0,0,0,0,0,23,25,12000,0,16,,,,,,
战神(男),10,6,122,0,5,9,3,5,0,0,0,0,0,0,0,0,45,30,25000,1,46,,,,,,
战神(女),11,6,130,0,5,9,3,5,0,0,0,0,0,0,0,0,45,30,25000,1,46,,,,,,
魔袍(男),10,4,120,0,3,5,3,4,0,0,0,2,0,0,0,0,12,20,10000,0,22,,,,,,
魔袍(女),11,4,128,0,3,5,3,4,0,0,0,2,0,0,0,0,12,20,10000,0,22,,,,,,
恶魔长袍(男),10,7,124,0,4,7,3,4,0,0,1,4,0,0,0,0,19,25,22000,2,28,,,,,,
恶魔长袍(女),11,7,132,0,4,7,3,4,0,0,1,4,0,0,0,0,19,25,22000,2,28,,,,,,
灵魂战甲(男),10,5,121,0,3,6,3,3,0,0,0,0,0,2,0,0,15,20,10000,0,22,,,,,,
灵魂战甲(女),11,5,129,0,3,6,3,3,0,0,0,0,0,2,0,0,15,20,10000,0,22,,,,,,
幽灵战甲(男),10,8,123,0,4,7,3,4,0,0,0,0,1,4,0,0,26,28,22000,3,27,,,,,,
幽灵战甲(女),11,8,131,0,4,7,3,4,0,0,0,0,1,4,0,0,26,28,22000,3,27,,,,,,
法神披风,10,10,277,0,4,9,4,6,0,0,2,5,0,0,0,0,21,26,20000,0,40,,,,,,
法神羽衣,11,10,280,0,4,9,4,6,0,0,2,5,0,0,0,0,21,26,20000,0,40,,,,,,
天魔战甲,10,9,276,0,5,12,4,7,1,2,0,0,0,0,0,0,62,35,20000,0,40,,,,,,
圣战战甲,11,9,279,0,5,12,4,7,1,2,0,0,0,0,0,0,62,35,20000,0,40,,,,,,
天尊道袍,10,11,278,0,4,9,4,6,0,0,0,0,2,5,0,0,37,30,20000,0,40,,,,,,
天师道袍,11,11,281,0,4,9,4,6,0,0,0,0,2,5,0,0,37,30,20000,0,40,,,,,,
金鹏宝甲(男),10,12,293,0,8,14,2,3,0,1,0,3,0,2,0,0,20,30,20000,5,33,,,,,,
金鹏宝甲(女),11,12,294,0,8,14,2,3,0,1,0,3,0,2,0,0,20,30,20000,5,33,,,,,,
龙凤婚服(男),10,7,124,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5,10000,0,0,,,,,,
龙凤婚服(女),11,7,132,0,1,3,0,0,0,0,0,0,0,0,0,0,1,5,10000,0,0,,,,,,
神武战甲,10,13,742,0,6,14,5,9,2,3,0,0,0,0,0,0,62,40,20000,0,44,,,,,,
神武战袍,11,13,743,0,6,14,5,9,2,3,0,0,0,0,0,0,62,40,20000,0,44,,,,,,
幻魔披风,10,14,744,0,4,11,5,8,0,0,3,6,0,0,0,0,21,28,20000,0,44,,,,,,
幻魔羽衣,11,14,745,0,4,11,5,8,0,0,3,6,0,0,0,0,21,28,20000,0,44,,,,,,
天玄道袍,10,15,746,0,4,11,5,8,0,0,0,0,3,6,0,0,37,32,20000,0,44,,,,,,
天玄道衣,11,15,747,0,4,11,5,8,0,0,0,0,3,6,0,0,37,32,20000,0,44,,,,,,
#头盔,,,,,,,,,,,,,,,,,,,,,,,,,,,
青铜头盔,15,0,133,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,1000,0,10,,,,,,
魔力头盔,15,0,134,0,0,1,1,1,0,0,0,0,0,0,0,0,4,8,2000,0,14,,,,,,
道士头盔,15,0,135,0,1,2,2,3,0,0,0,0,0,0,0,0,3,8,3000,0,24,,,,,,
死神头盔,15,0,136,0,2,3,0,0,0,0,0,0,0,0,0,0,5,8,6000,1,30,,,,,,
