#id,name,type,lastDay,attrCnt,attr_0,attr_1,attr_2,attr_3,colorId
#普通封号,,,,,,,,,
2,活跃先驱,0,7,1,105;0;1,,,,1
9,洪福齐天,0,0,0,,,,,14
10,吉星高照,0,0,0,,,,,14
11,吉人天相,0,0,0,,,,,14
12,功成名就,0,0,0,,,,,14
34,劳动最光荣,0,30,1,105;0;2,,,,14
41,勇冠三军,0,30,1,105;0;2,,,,14
42,赤金战神,0,30,1,105;0;2,,,,14
43,虎虎生威,0,30,1,105;0;2,,,,14
64,把酒言欢,0,0,1,105;0;2,,,,
20,花好月圆,0,0,1,105;0;2,,,,
#特殊封号,,,,,,,,,
1,君临天下,1,0,3,100;5;5,101;5;5,102;5;5,,
13,第一战神,1,0,3,100;15;15,101;15;15,102;15;15,,
14,第一法王,1,0,3,100;5;5,101;5;5,102;5;5,,
15,第一道尊,1,0,3,100;10;10,101;10;10,102;10;10,,
33,腰缠万贯,1,0,4,105;0;5,100;20;20,101;20;20,102;20;20,
35,王城勇士,1,0,,,,,,
36,荣耀战神,1,0,,,,,,
37,圣武天王,1,0,,,,,,
38,至尊主宰,1,0,,,,,,
40,天下第一皇,1,0,1,105;0;3,,,,
#节日封号,,,,,,,,,
45,十九周年代言人,2,0,3,9;0;2,10;0;2,105;1;5,,
46,天不老,2,0,3,9;0;1,10;0;1,105;0;1,,
47,君子好逑,2,0,3,9;0;1,10;0;1,105;0;2,,
48,阆苑仙葩,2,0,3,9;0;1,10;0;1,105;0;3,,
49,结发为夫妻,2,0,3,9;0;1,10;0;1,105;0;4,,
50,盈盈一水间,2,0,3,9;0;1,10;0;1,105;0;5,,
51,身无彩凤双飞翼,2,0,3,9;0;1,10;0;1,105;0;5,,
52,情难绝,2,0,3,9;0;1,10;0;1,105;0;1,,
53,窈窕淑女,2,0,3,9;0;1,10;0;1,105;0;2,,
54,美玉无瑕,2,0,3,9;0;1,10;0;1,105;0;3,,
55,恩爱两不疑,2,0,3,9;0;1,10;0;1,105;0;4,,
56,脉脉不得语,2,0,3,9;0;1,10;0;1,105;0;5,,
57,心有灵犀一点通,2,0,3,9;0;1,10;0;1,105;0;5,,
