#技能名,无效果,开关式,被动类型(0非被动1攻击2经验值),耗道符,耗红毒,耗绿毒,耗雄稻草人(男),耗雌稻草人(女),附加参数
,,,,,,,,,
初级剑法,1,0,1,0,0,0,0,0,
攻杀剑法,1,0,1,0,0,0,0,0,PWR
刺杀剑术,1,1,0,0,0,0,0,0,LNG
半月弯刀,1,1,0,0,0,0,0,0,WID
烈火剑法,1,1,0,0,0,0,0,0,FIR
战魂真悟,1,0,2,0,0,0,0,0,凭着对战魂的领悟，这次你获得了更多的经验。
法之魄,1,0,2,0,0,0,0,0,凭着对魔法本质的认识，这次你获得了更多的经验。
道心清明,1,0,2,0,0,0,0,0,道的信念使你在杀戮中还保持着清醒，这次你获得了更多的经验。
破击剑法,1,1,0,0,0,0,0,0,PJ
破盾斩,1,1,0,0,0,0,0,0,PD
残影刀法,1,0,1,0,0,0,0,0,VIS
血影刀法,1,0,1,0,0,0,0,0,FS
抱月刀,1,1,0,0,0,0,0,0,CIR
雷霆剑,1,1,0,0,0,0,0,0,THU
擒龙手,0,0,1,0,0,0,0,0,
移形换影,1,0,0,0,0,0,0,0,
遁地,1,0,0,0,0,0,0,0,
,,,,,,,,,
精神战法,1,0,1,0,0,0,0,0,
化身蝙蝠,1,0,0,0,0,0,0,0,
强化骷髅术,0,0,0,2,0,0,0,0,强化骷髅
召唤神兽,0,0,0,1,0,0,0,0,火灵珠
骷髅召唤术,0,0,0,1,0,0,0,0,变异骷髅
赶尸,0,0,0,1,0,0,0,0,尸灵
替身法符,0,0,0,1,0,0,0,0,替身
诅咒术,0,0,0,0,0,0,1,1,
灵魂道符,0,0,0,1,0,0,0,0,
幽冥火咒,0,0,0,1,0,0,0,0,
神光术,0,0,0,1,0,0,0,0,
解毒术,0,0,0,1,0,0,0,0,
施毒术,0,0,0,0,1,1,0,0,
神圣战甲术,0,0,0,1,0,0,0,0,
幽灵盾,0,0,0,1,0,0,0,0,
隐身术,0,0,0,1,0,0,0,0,
集体隐身术,0,0,0,1,0,0,0,0,
困魔咒,0,0,0,1,0,0,0,0,
灵魂墙,0,0,0,1,0,0,0,0,
