#等级,经验,战士封号,法师封号,道士封号
46,40000000,战将,法魂,道玄
46,80000000,战狂,法魄,散人
47,40000000,武狂,法灵,真人
47,80000000,武宗,法宗,道宗
47,160000000,武尊,法王,道尊
48,60000000,战圣,法神,天尊
48,120000000,天武者,幻魔法魂,元道道玄
48,240000000,天武战士,幻魔法魄,元道散人
49,70000000,天武战将,幻魔法灵,元道真人
49,140000000,天武战狂,幻魔法宗,元道道宗
49,210000000,天武王,幻魔法王,元道道尊
50,80000000,天武战神,幻魔法皇,元道天尊
50,160000000,天武宗师,幻魔法圣,都天道玄
50,320000000,天武战圣,幻魔法神,都天散人
51,0,神武者,幻神法魂,都天真人
51,140000000,神武战士,幻神法魄,都天道宗
51,320000000,神武战将,幻神法灵,都天道尊
52,0,神武战狂,幻神法宗,都天天尊
52,140000000,神武王,幻神法王,罗天道玄
52,320000000,神武战神,幻神法皇,罗天散人
53,0,神武宗师,幻神法圣,罗天真人
53,140000000,神武战圣,幻神法神,罗天道宗
53,320000000,圣武者,天幻法魂,罗天道尊
54,0,圣武战士,天幻法魄,罗天天尊
54,140000000,圣武战将,天幻法灵,无量道玄
54,320000000,圣武战狂,天幻法宗,无量散人
55,0,圣武王,天幻法王,无量真人
55,140000000,圣武战神,天幻法皇,无量道宗
55,320000000,圣武宗师,天幻法圣,无量道尊
56,0,圣武战圣,天幻法神,无量天尊
56,140000000,威武极天战士,天地玄极法魂,玄天妙法道玄
56,320000000,威武极天战将,天地玄极法魄,玄天妙法散人
57,0,威武极天战狂,天地玄极法灵,玄天妙法真人
57,140000000,威武极天战神,天地玄极法宗,玄天妙法道宗
57,320000000,威武极天宗师,天地玄极法王,玄天妙法道仙
58,0,威武极天战圣,天地玄极法圣,玄天妙法天尊
59,0,威武极天战狂,天地玄极法神,玄天妙法道尊
60,0,洪武行天战神,天异玄奥法皇,混天广法天尊 
61,0,洪武行天战圣,天异玄奥法神,混天广法道尊 
62,0,雄武驰天战神,天魁玄灵法皇,镇天聚法天尊
63,0,雄武驰天战圣,天魁玄灵法神,镇天聚法道尊
64,0,尊武凌天战神,天暴玄宗法皇,鸿天显法天尊 
65,0,尊武凌天战圣,天暴玄宗法神,鸿天显法道尊 
66,0,神威亢天战神,天猖玄元法皇,昊天玄道天尊 
67,0,神威亢天战圣,天猖玄元法神,昊天玄道道尊 
68,0,至尊傲天战神,天狂玄傲法皇,傲天元法天尊 
69,0,至尊傲天战狂,天狂玄傲法神,傲天元法道尊 
70,0,至尊傲天战圣,天狂玄傲法宗,傲天元法道仙 

