#Level ,ACMIN,ACMAX,MACMIN,MACMAX,DCMIN,DCMAX,MCMIN,MCMAX,SCMIN,SCMAX,HP,MP,背包,负重,腕力,命中,敏捷,魔法恢复,体力恢复,魔法躲避,魔法命中,中毒躲避,中毒命中,活力,升级经验
1,0,0,0,0,1,1,0,0,0,0,19,15,50,15,12,5,15,1,1,1,0,0,0,0,100
2,0,0,0,0,1,1,0,0,0,0,24,18,51,15,12,5,15,2,1,2,0,0,0,0,200
3,0,0,0,0,1,1,0,0,0,0,30,21,53,15,13,5,15,2,1,2,0,0,0,0,300
4,0,0,0,0,1,1,0,0,0,0,37,25,55,16,13,5,15,2,1,2,0,0,0,0,400
5,0,0,0,0,1,1,0,0,0,0,44,29,58,16,14,5,15,2,1,2,0,0,0,0,600
6,0,0,0,0,1,1,0,0,0,0,52,32,62,17,15,5,15,2,1,2,0,0,0,0,900
7,0,1,0,0,1,1,0,0,0,0,60,35,66,17,16,5,15,2,1,2,0,0,0,0,1200
8,0,1,0,0,1,1,0,0,0,0,69,39,71,18,17,5,15,3,1,3,0,0,0,0,1700
9,0,1,0,0,1,1,0,0,0,0,79,43,77,19,18,5,15,3,2,3,0,0,0,0,2500
10,0,1,0,0,1,2,0,0,0,0,89,46,83,20,20,5,15,3,2,3,0,0,0,0,6000
11,0,1,0,0,1,2,0,0,0,0,100,49,90,21,21,5,15,3,2,3,0,0,0,0,8000
12,0,1,0,0,1,2,0,0,0,0,111,53,98,22,23,5,15,3,2,3,0,0,0,0,10000
13,0,1,0,0,1,2,0,0,0,0,123,57,106,23,25,5,15,4,2,4,0,0,0,0,15000
14,0,2,0,0,1,2,0,0,0,0,136,60,115,25,27,5,15,4,2,4,0,0,0,0,30000
15,0,2,0,0,2,3,0,0,0,0,149,63,125,26,29,5,15,4,2,4,0,0,0,0,40000
16,0,2,0,0,2,3,0,0,0,0,163,67,135,28,32,5,15,4,3,4,0,0,0,0,50000
17,0,2,0,0,2,3,0,0,0,0,177,71,146,29,34,5,15,4,3,4,0,0,0,0,70000
18,0,2,0,0,2,3,0,0,0,0,192,74,158,31,37,5,15,5,3,5,0,0,0,0,100000
19,0,2,0,0,2,3,0,0,0,0,208,77,170,33,40,5,15,5,3,5,0,0,0,0,120000
20,0,2,0,0,3,4,0,0,0,0,224,81,183,35,43,5,15,5,3,5,0,0,0,0,140000
21,0,3,0,0,3,4,0,0,0,0,241,85,197,37,46,5,15,5,4,5,0,0,0,0,250000
22,0,3,0,0,3,4,0,0,0,0,258,88,211,39,49,5,15,5,4,5,0,0,0,0,300000
23,0,3,0,0,3,4,0,0,0,0,276,91,226,41,53,5,15,6,4,6,0,0,0,0,350000
24,0,3,0,0,3,4,0,0,0,0,295,95,242,44,56,5,15,6,4,6,0,0,0,0,400000
25,0,3,0,0,4,5,0,0,0,0,314,99,258,46,60,5,15,6,5,6,0,0,0,0,500000
26,0,3,0,0,4,5,0,0,0,0,334,102,275,49,64,5,15,6,5,6,0,0,0,0,700000
27,0,3,0,0,4,5,0,0,0,0,354,105,293,51,68,5,15,6,5,6,0,0,0,0,1000000
28,0,4,0,0,4,5,0,0,0,0,375,109,311,54,72,5,15,7,6,7,0,0,0,0,1400000
29,0,4,0,0,4,5,0,0,0,0,397,113,330,57,77,5,15,7,6,7,0,0,0,0,1800000
30,0,4,0,0,5,6,0,0,0,0,419,116,350,60,81,5,15,7,6,7,0,0,0,0,2000000
31,0,4,0,0,5,6,0,0,0,0,442,119,370,63,86,5,15,7,6,7,0,0,0,0,2400000
32,0,4,0,0,5,6,0,0,0,0,456,123,391,66,91,5,15,7,7,7,0,0,0,0,2800000
33,0,4,0,0,5,6,0,0,0,0,489,127,413,69,96,5,15,8,7,8,0,0,0,0,3200000
34,0,4,0,0,5,6,0,0,0,0,514,130,435,73,101,5,15,8,7,8,0,0,0,0,3600000
35,0,5,0,0,6,7,0,0,0,0,539,133,458,76,106,5,15,8,8,8,0,0,0,0,4000000
36,0,5,0,0,6,7,0,0,0,0,565,137,482,80,112,5,15,8,8,8,0,0,0,0,4800000
37,0,5,0,0,6,7,0,0,0,0,591,141,506,83,117,5,15,8,8,8,0,0,0,0,5600000
38,0,5,0,0,6,7,0,0,0,0,618,144,531,87,123,5,15,9,9,9,0,0,0,0,8200000
39,0,5,0,0,6,7,0,0,0,0,646,147,557,91,129,5,15,9,9,9,0,0,0,0,9000000
40,0,5,0,0,7,8,0,0,0,0,674,151,583,95,135,5,15,9,9,9,0,0,0,0,12000000
41,0,5,0,0,7,8,0,0,0,0,703,155,610,99,141,5,15,9,10,9,0,0,0,0,16000000
