ДжД§,143,72,76,1,1,360
ДжД§КМОА,143,72,76,20,10,8
ДжД§ОАКї,143,72,76,20,10,8
ДжД§µсПс,143,72,76,20,10,8
ДжД§µсПс,143,46,50,80,2,60
ДжД§№­јэКЦ,143,72,76,20,10,8
ДжД§КМОА,143,72,76,20,7,16
ДжД§ОАКї,143,72,76,20,7,16
ДжД§µсПс,143,72,76,20,7,16
ДжД§№­јэКЦ,143,72,76,10,7,16
ДжД§КМОА,143,46,50,50,20,8
ДжД§ОАКї,143,46,50,50,20,8
ДжД§µсПс,143,46,50,50,20,8
ДжД§№­јэКЦ,143,46,50,40,20,8
ДжД§КМОА,143,46,50,50,12,16
ДжД§ОАКї,143,46,50,50,12,16
ДжД§µсПс,143,46,50,50,12,16
ДжД§№­јэКЦ,143,46,50,40,12,16
ДжД§КМОА,143,22,22,5,1,8
ДжД§ОАКї,143,22,22,5,1,8
ДжД§µсПс,143,22,22,5,1,8
ДжД§№­јэКЦ,143,22,22,3,1,8
ДжД§КМОА,143,27,27,5,1,14
ДжД§ОАКї,143,27,27,5,1,14
ДжД§µсПс,143,27,27,5,1,14
ДжД§№­јэКЦ,143,27,27,3,1,14
ДжД§КМОА,143,46,50,80,1,16
ДжД§ОАКї,143,46,50,80,1,16
ДжД§ОАКї,143,46,50,80,1,16
ДжД§µсПс,143,46,50,80,1,16
ДжД§№­јэКЦ,143,46,50,60,1,16
