#NPC名字,Data id,外观,地图ID,坐标X, 坐标Y, 是否可以对话,与玩家距离,脚本对应的文本名字,购买百分比,出售百分比
#中州外,,,,,,,,,,
朱雀炉,1,0x25,16,578,118,1,,朱雀炉,,
玄武炉,1,0x25,16,365,333,1,,玄武炉,,
白虎炉,1,0x25,16,365,118,1,,白虎炉,,
青龙炉,1,0x25,16,578,333,1,,青龙炉,,
星宿朱雀,1,0xB,16,570,114,1,,星宿朱雀,,
红袖,1,0x20 ,16,470,222,1,,红袖,,
神秘老人,1,0x5,16,497,505,1,,中州神秘老人,,
龙凤阁伙计,1,0xc ,16,495,324,1,,龙凤阁伙计,,
月如,1,0xc,16,580,215,1,,月如,,
阿平,1,0x4 ,16,385,330,1,,阿平,,
江湖百晓生,1,0x3,16,474,226,1,,江湖百晓生,,
船行老板,1,0xd,16,67,525,1,,船行老板,,
老兵,1,0x00,16,468,226,1,,中州老兵,,
马倌,1,0xd,16,407,263,1,,马倌,,
彩票员,1,0x1 ,16,438,215,1,,彩票员,,
美发师,1,0xc,16,392,179,1,,美发师,,
首饰店掌柜,1601,0xc,16,470,248,1,,中州首饰店,100,50
建材商人,1602,0x1,16,408,220,1,,中州木材商人,100,50
杂货铺掌柜,1603,0x1,16,468,207,1,,中州杂货小贩,100,50
客栈掌柜,1,0x2,16,375,210,1,,客栈掌柜,,
药店掌柜,1604,0x8,16,497,269,1,,中州药店掌柜,100,50
铸造师,1,0x6,16,423,248,1,,铸造师,,
铁匠,1605,0x6,16,419,244,1,,中州铁匠,100,50
屠夫,1606,0x7,16,463,258,1,,中州屠夫,100,50
魔法阵祭祀,1,0x5,16,429,170,1,,魔法阵祭祀,,
祝福老人,1,0x5,16,476,224,1,,祝福老人,,
龙珠大祭祀,1,0x5,16,433,173,1,,龙珠大祭祀,,
史官,1,0xB,16,475,150,1,,史官,,
江湖公告,1,0x2c,16,474,207,1,,中州江湖公告,,
通天漩涡 ,1,0x19,16,441,183,1,,通天漩涡 ,,
英雄守护神,1,0x24,16,571,216,1,,英雄守护神,,
太史令,1,0xB,16,480,155,1,,太史令,,
月老,1,0x5,34,11,14,1,,月老,,
炼狱入口,1,0x19,16,454,192,1,,炼狱入口,,
骑兵竞技场门房,1,0xB,258,133,123,1,,骑兵竞技场门房,,
玄坛使者,40,0x10,16,484,217,1,,玄坛使者,,
,,,,,,,,,,
#中州内,,,,,,,,,,
国王,1,0x9,28,30,34,1,,国王,,
史官,1,0xB,28,22,39,1,,史官,,
首饰店掌柜,1607,0xc,31,13,15,1,,中州首饰店,100,50
客栈老板,1,0x2,30,9,12,1,,客栈掌柜,,
仓库保管员,1,0x2,33,7,14,1,,客栈掌柜,,
炼药师,1608,0x8,40,5,11,1,,炼药师,100,50
肉店老板,1,0x7,38,4,13,1,,中州内屠夫,100,50
服装店掌柜,1609,0xa,37,11,12,1,,中州内服装店老板娘,100,50
书店老板,1610,0x5,39,10,9,1,,中州内书店老板,100,50
武馆教头,1,0xd,32,19,19,1,,武馆教头,,
英雄擂台使者,1,0xd,32,11,29,1,,英雄擂台使者,,
玄玄老人,1,0x2a,29,9,11,1,,玄玄老人,,
紫金神炉,1,0x2b,29,7,9,1,,紫金神炉,,
客栈掌柜,1,0x2,29,3,12,1,,中州内客栈掌柜,,
染色工,1,0xa,37,14,15,1,,染色工,,
,,,,,,,,,,
#英雄擂台,,,,,,,,,,
英雄擂台使者,1,0xd,998,19,19,1,,擂台使者,,
流浪商人,1,0x1,998,12,29,1,,流浪商人,,
仓库保管员,1,0x2,998,7,29,1,,客栈掌柜,,
