INT	INT	INT	INT	INT
ID	Stdmode	Shape	职业	套装类型
1	5	167	0	6
2	5	168	1	6
3	5	169	2	6
4	5	170	3	6
5	10	75	0	6
6	11	75	0	6
7	10	76	1	6
8	11	76	1	6
9	10	77	2	6
10	11	77	2	6
11	10	78	3	6
12	11	78	3	6
13	15	116	0	6
14	19	116	0	6
15	24	116	0	6
16	22	167	0	6
17	81	116	0	6
18	58	116	0	6
19	15	117	1	6
20	19	117	1	6
21	26	117	1	6
22	22	168	1	6
23	81	117	1	6
24	58	117	1	6
25	15	118	2	6
26	19	118	2	6
27	26	118	2	6
28	22	169	2	6
29	81	118	2	6
30	58	118	2	6
31	15	119	3	6
32	19	119	3	6
33	24	119	3	6
34	22	170	3	6
35	81	119	3	6
36	58	119	3	6
37	10	79	0	7
38	11	79	0	7
39	10	80	1	7
40	11	80	1	7
41	10	81	2	7
42	11	81	2	7
43	10	82	3	7
44	11	82	3	7
45	15	120	0	7
46	19	120	0	7
47	24	120	0	7
48	22	171	0	7
49	81	120	0	7
50	58	120	0	7
51	15	121	1	7
52	19	121	1	7
53	26	121	1	7
54	22	172	1	7
55	81	121	1	7
56	58	121	1	7
57	15	122	2	7
58	19	122	2	7
59	26	122	2	7
60	22	173	2	7
61	81	122	2	7
62	58	122	2	7
63	15	123	3	7
64	19	123	3	7
65	24	123	3	7
66	22	174	3	7
67	81	123	3	7
68	58	123	3	7
69	5	171	0	7
70	5	172	1	7
71	5	173	2	7
72	5	174	3	7
73	10	64	3	12
74	11	64	3	12
75	15	108	0	12
76	19	108	0	12
77	24	108	0	12
78	22	108	0	12
79	81	108	0	12
80	58	108	0	12
81	15	109	1	12
82	19	109	1	12
83	26	109	1	12
84	22	109	1	12
85	81	109	1	12
86	58	109	1	12
87	15	110	2	12
88	19	110	2	12
89	26	110	2	12
90	22	110	2	12
91	81	110	2	12
92	58	110	2	12
93	15	111	3	12
94	19	111	3	12
95	24	111	3	12
96	22	162	3	12
97	81	111	3	12
98	58	111	3	12
99	5	156	0	12
100	5	157	1	12
101	5	158	2	12
102	5	159	3	12
103	10	61	0	12
104	11	61	0	12
105	10	62	1	12
106	11	62	1	12
107	10	63	2	12
108	11	63	2	12
109	10	65	0	5
110	11	65	0	5
111	10	66	1	5
112	11	66	1	5
