id,字符串key,名字,0不允许覆盖1覆盖等级，时间重置2叠加等级，时间重置3覆盖等级，时间不变4叠加等级，时间不变5覆盖等级，时间延长6叠加等级，时间延长,是否下线保存,下线是否计时,是否同步客户端,是否广播客户端(todo),是否死亡清除,持有图标(留空表示不显示图标),持有特效(留空表示不显示特效),持有特效1(留空表示不显示特效),特效类型(留空表示不显示特效),特效层级(0:身后 1:身前),替换组key(同一个组key的buff生效时，会删除原组所有buff),互斥组key(有同一个组key的buff生效时，无法再添加新的同组buff),缺省持续秒,更新时间秒（0表示不更新）,是否屏蔽时间,最大等级(0不限),固定属性个数（总属性=固定属性+buff等级*等级属性）,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,等级属性个数,等级属性槽,等级属性槽,等级属性槽,等级属性槽,等级属性槽,描述
id,key,name,coverType,isSaveDB,isCalTimeLogout,isNotifyClient,isBoradClient,isClearOnDead,looks,effect,effect1,effecttype,eftlayer,replaceGroupKey,mutexGroupKey,defaultHoldTime,tick,isHideTime,maxLevel,attrCnt,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,lv_attrCnt,lv_attr_0,lv_attr_1,lv_attr_2,lv_attr_3,lv_attr_4,desc
1,gongji,攻击,1,1,1,1,0,0,34047,,,,,gongji,,30,,0,0,1,105;25;25,,,,,,,0,,,,,,炼狱障碍赛冠军专属奖励
2,fangyu,防御,1,1,1,1,0,0,34048,,,,,fangyu,,30,,0,0,2,9;10;10,10;10;10,,,,,,0,,,,,,雷电生存赛冠军专属奖励
3,mingzhong,命中,1,1,1,1,0,0,34049,,,,,mingzhong,,30,,0,0,2,4;5;5,5;5;5,,,,,,0,,,,,,增加好多命中
4,shanbi,闪避,1,1,1,1,0,0,34050,,,,,shanbi,,30,,0,0,2,2;5;5,3;5;5,,,,,,0,,,,,,增加好多躲避
5,baoji,暴击,1,1,1,1,0,0,34051,,,,,baoji,,30,,0,0,1,45;10;10,,,,,,,0,1;25;25,,,,,僵尸追杀赛冠军专属奖励
6,renxing,韧性,1,1,1,1,0,0,34052,,,,,renxing,,30,,0,0,1,50;10;10,,,,,,,0,1;10;10,,,,,逆魔随机赛冠军专属奖励
7,shengming,生命,1,1,1,1,0,0,34053,,,,,shengming,,30,,0,0,4,100;100;100,101;40;40,102;60;60,104;80;80,,,,0,1;15;15,,,,,魔鬼记忆园冠军专属奖励
8,xingyun,幸运,1,1,1,1,0,0,34054,,,,,xingyun,,30,,0,0,1,11;1;1,,,,,,,0,1;20;20,,,,,增加好多幸运
9,gongji1,攻击,1,1,1,1,0,0,34047,,,,,gongji1,,30,,0,0,1,105;25;25,,,,,,,0,,,,,,炼狱障碍赛冠军专属奖励
10,fangyu1,防御,1,1,1,1,0,0,34048,,,,,fangyu1,,30,,0,0,2,9;10;10,10;10;10,,,,,,0,,,,,,雷电生存赛冠军专属奖励
11,mingzhong1,命中,1,1,1,1,0,0,34049,,,,1,mingzhong1,,30,,0,0,2,4;5;5,5;5;5,,,,,,0,,,,,,增加好多命中
12,shanbi1,闪避,1,1,1,1,0,0,34050,,,,,shanbi1,,30,,0,0,2,2;5;5,3;5;5,,,,,,0,,,,,,增加好多躲避
13,baoji1,暴击,1,1,1,1,0,0,34051,,,,,baoji1,,30,,0,0,1,45;10;10,,,,,,,0,1;25;25,,,,,僵尸追杀赛冠军专属奖励
14,renxing1,韧性,1,1,1,1,0,0,34052,,,,,renxing1,,30,,0,0,1,50;10;10,,,,,,,0,1;10;10,,,,,逆魔随机赛冠军专属奖励
15,shengming1,生命,1,1,1,1,0,0,34053,,,,,shengming1,,30,,0,0,4,100;100;100,101;40;40,102;60;60,104;80;80,,,,0,1;15;15,,,,,魔鬼记忆园冠军专属奖励
16,xingyun1,幸运,1,1,1,1,0,0,34054,,,,,xingyun1,,30,,0,0,1,11;1;1,,,,,,,0,1;20;20,,,,,增加好多幸运
17,gongji6,攻击,1,1,1,1,0,0,34047,,,,,gongji6,,30,,0,0,1,105;25;25,,,,,,,0,,,,,,炼狱障碍赛冠军专属奖励
18,fangyu6,防御,1,1,1,1,0,0,34048,,,,,fangyu6,,30,,0,0,2,9;10;10,10;10;10,,,,,,0,,,,,,雷电生存赛冠军专属奖励
19,mingzhong6,命中,1,1,1,1,0,0,34049,,,,,mingzhong6,,30,,0,0,2,4;5;5,5;5;5,,,,,,0,,,,,,增加好多命中
20,shanbi6,闪避,1,1,1,1,0,0,34050,,,,,shanbi6,,30,,0,0,2,2;5;5,3;5;5,,,,,,0,,,,,,增加好多躲避
21,baoji6,暴击,1,1,1,1,0,0,34051,,,,,baoji6,,30,,0,0,1,45;10;10,,,,,,,0,1;25;25,,,,,僵尸追杀赛冠军专属奖励
22,renxing6,韧性,1,1,1,1,0,0,34052,,,,,renxing6,,30,,0,0,1,50;10;10,,,,,,,0,1;10;10,,,,,逆魔随机赛冠军专属奖励
23,shengming6,生命,1,1,1,1,0,0,34053,,,,1,shengming6,,30,,0,0,4,100;100;100,101;40;40,102;60;60,104;80;80,,,,0,1;15;15,,,,,魔鬼记忆园冠军专属奖励
24,xingyun6,幸运,1,1,1,1,0,0,34054,,,,,xingyun6,,30,,0,0,1,11;1;1,,,,,,,0,1;20;20,,,,,增加好多幸运
25,expAddBuff1,经验增益,1,1,1,1,0,0,34055,,,,,,,30,,0,0,0,,,,,,,,0,,,,,,勇敢的战士，你当前正处于多倍经验状态。战斗吧勇士！
26,KF1,攻击,1,1,1,1,0,0,34047,,,,,gongji,,2592000,,0,0,1,105;30;30,,,,,,,0,,,,,,跨服赛冠军增益，攻击+30
27,KF24,攻击,1,1,1,1,0,0,34047,,,,,gongji,,2592000,,0,0,1,105;15;15,,,,,,,0,,,,,,跨服赛2-4名增益，攻击+15
28,KF11,攻击,1,1,1,1,0,0,34047,,,,,gongji,,2592000,,0,0,1,105;5000;5000,,,,,,,0,,,,,,跨服赛冠军增益，攻击+5000
29,KF241,攻击,1,1,1,1,0,0,34047,,,,,gongji,,2592000,,0,0,1,105;3000;3000,,,,,,,0,,,,,,跨服赛2-4名增益，攻击+3000
30,monsuolian,生命锁链,1,0,0,1,1,0,,45389,,,1,,,5,,0,0,0,,,,,,,,,,,,,,
31,hanghuigongji1,1级行会攻击,1,1,1,1,0,0,34047,,,,,hanghuigongji1,,604800,,0,0,1,105;2;2,,,,,,,0,,,,,,1级行会攻击：攻击2-2
