INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
ID,成就名字,成就界面显示类别,成就描述,操作大类,操作子类,目标值,成就点数,获得绑定道具,道具数量,是否叠加,获得属性类型1,属性点数1,获得属性类型2,属性点数2,成就类别,地图名称,获得封号
100,传音入密,人脉,使用1次传音号角,使用道具,传音号角,1,5,,,,,,,,2,,
200,振聋发聩,人脉,使用10次传音号角,使用道具,传音号角,10,5,,,,,,,,2,,
300,大狮子吼,人脉,使用50次传音号角,使用道具,传音号角,50,5,,,,,,,,2,,
400,千里传音,人脉,使用200次传音号角,使用道具,传音号角,200,5,,,,,,,,2,,
500,萍水相逢,人脉,拥有1个好友,达标,好友,1,5,,,,,,,,2,,
600,左右逢源,人脉,拥有10个好友,达标,好友,10,5,,,,,,,,2,,
700,高朋满座,人脉,拥有50个好友,达标,好友,50,5,,,,,,,,2,,
800,三教九流,人脉,加入1个行会,加入行会,ANY,1,5,,,,,,,,2,,
900,百年好合,人脉,完成结婚,结婚,ANY,1,5,,,,,,,,2,,
1000,义结金兰,人脉,完成结义,结义,ANY,1,5,,,,,,,,2,,
1100,萍水相逢,人脉,与一个玩家的友好度达到100点,达标,友好度,100,5,,,,,,,,2,,
1200,君子之交,人脉,与一个玩家的友好度达到200点,达标,友好度,200,5,,,,,,,,2,,
1300,相见恨晚,人脉,与一个玩家的友好度达到500点,达标,友好度,500,5,,,,,,,,2,,
1400,策马同游,人脉,与一个玩家的友好度达到1000点,达标,友好度,1000,5,,,,,,,,2,,
1500,肝胆相照,人脉,与一个玩家的友好度达到2000点,达标,友好度,2000,5,,,,,,,,2,,
1600,金兰之契,人脉,与一个玩家的友好度达到5000点,达标,友好度,5000,5,,,,,,,,2,,
1700,莫逆之交,人脉,与一个玩家的友好度达到10000点,达标,友好度,10000,5,,,,,,,,2,,
1800,生死不离,人脉,与一个玩家的友好度达到20000点,达标,友好度,20000,5,,,,,,,,2,,
1900,山盟海誓,人脉,与一个玩家的友好度达到50000点,达标,友好度,50000,5,,,,,,,,2,,
2000,海枯石烂,人脉,与一个玩家的友好度达到100000点,达标,友好度,100000,5,,,,,,,,2,,
2100,萍水相逢·结义,人脉,与4个玩家的友好度达到100点,达标,4人友好度,100,5,,,,,,,,2,,
2200,君子之交·结义,人脉,与4个玩家的友好度达到200点,达标,4人友好度,200,5,,,,,,,,2,,
2300,相见恨晚·结义,人脉,与4个玩家的友好度达到500点,达标,4人友好度,500,5,,,,,,,,2,,
2400,策马同游·结义,人脉,与4个玩家的友好度达到1000点,达标,4人友好度,1000,5,,,,,,,,2,,
2500,肝胆相照·结义,人脉,与4个玩家的友好度达到2000点,达标,4人友好度,2000,5,,,,,,,,2,,
2600,金兰之契·结义,人脉,与4个玩家的友好度达到5000点,达标,4人友好度,5000,5,,,,,,,,2,,
2700,莫逆之交·结义,人脉,与4个玩家的友好度达到10000点,达标,4人友好度,10000,5,,,,,,,,2,,
2800,生死不离·结义,人脉,与4个玩家的友好度达到20000点,达标,4人友好度,20000,5,,,,,,,,2,,
2900,山盟海誓·结义,人脉,与4个玩家的友好度达到50000点,达标,4人友好度,50000,5,,,,,,,,2,,
3000,海枯石烂·结义,人脉,与4个玩家的友好度达到100000点,达标,4人友好度,100000,5,,,,,,,,2,,
3100,登堂入室,综合,主体达到50级,达标,主体等级,50,5,,,,,,,,2,,
3200,出入由心,综合,主体达到60级,达标,主体等级,60,5,,,,,,,,2,,
3300,天地造化,综合,主体达到71级,达标,主体等级,71,5,,,,,,,,2,,
3400,悟道玄妙,综合,主体达到天人一重,达标,主体等级,72,5,,,,,,,,2,,
3500,生死轮回,综合,主体达到天人九十九重,达标,主体等级,170,5,,,,,,,,2,,
3600,顿悟解脱,综合,主体达到天仙一重,达标,主体等级,171,5,,,,,,,,2,,
3700,上德无为,综合,主体达到天仙九十九重,达标,主体等级,269,5,,,,,,,,2,,
3800,登堂入室·元神,综合,元神达到50级,达标,元神等级,50,5,,,,,,,,2,,
3900,出入由心·元神,综合,元神达到60级,达标,元神等级,60,5,,,,,,,,2,,
4000,天地造化·元神,综合,元神达到71级,达标,元神等级,71,5,,,,,,,,2,,
4100,悟道玄妙·元神,综合,元神达到天人一重,达标,元神等级,72,5,,,,,,,,2,,
4200,生死轮回·元神,综合,元神达到天人九十九重,达标,元神等级,170,5,,,,,,,,2,,
4300,顿悟解脱·元神,综合,元神达到天仙一重,达标,元神等级,171,5,,,,,,,,2,,
4400,上德无为·元神,综合,元神达到天仙九十九重,达标,元神等级,269,5,,,,,,,,2,,
4500,一帆风顺,装备,使用1次祝福神油,使用道具,祝福神油,1,5,,,,,,,,2,,
4600,十全十美,装备,使用10次祝福神油,使用道具,祝福神油,10,5,,,,,,,,2,,
4700,百炼成钢,装备,使用100次祝福神油,使用道具,祝福神油,100,5,,,,,,,,2,,
4800,千载难逢,装备,使用1000次祝福神油,使用道具,祝福神油,1000,5,,,,,,,,2,,
4900,万事大吉,装备,使用10000次祝福神油,使用道具,祝福神油,10000,5,,,,,,,,2,,
5000,活跃菜鸟,活动,活跃度达到100点1次,活跃度达标,ANY,1,5,,,,,,,,2,,
5100,活跃新秀,活动,活跃度达到100点5次,活跃度达标,ANY,5,5,,,,,,,,2,,
5200,活跃老手,活动,活跃度达到100点10次,活跃度达标,ANY,10,5,,,,,,,,2,,
5300,活跃先锋,活动,活跃度达到100点20次,活跃度达标,ANY,20,5,,,,,,,,2,,
5400,活跃高手,活动,活跃度达到100点50次,活跃度达标,ANY,50,5,,,,,,,,2,,
5500,活跃专家,活动,活跃度达到100点100次,活跃度达标,ANY,100,5,,,,,,,,2,,
5600,活跃大师,活动,活跃度达到100点200次,活跃度达标,ANY,200,5,,,,,,,,2,,
5700,活跃宗师,活动,活跃度达到100点300次,活跃度达标,ANY,300,5,,,,,,,,2,,
5800,活跃权威,活动,活跃度达到100点500次,活跃度达标,ANY,500,5,,,,,,,,2,,
5900,活跃王者,活动,活跃度达到100点1000次,活跃度达标,ANY,1000,5,,,,,,,,2,,
6000,满载而归(一),综合,扩充1格包裹,扩充包裹,ANY,1,5,,,,,,,,2,,
6100,满载而归(二),综合,扩充5格包裹,扩充包裹,ANY,5,5,,,,,,,,2,,
6200,满载而归(三),综合,扩充10格包裹,扩充包裹,ANY,10,5,,,,,,,,2,,
6300,满载而归(四),综合,扩充20格包裹,扩充包裹,ANY,20,5,,,,,,,,2,,
6400,满载而归(五),综合,扩充30格包裹,扩充包裹,ANY,30,5,,,,,,,,2,,
6500,满载而归(六),综合,扩充40格包裹,扩充包裹,ANY,40,5,,,,,,,,2,,
6600,满载而归(七),综合,扩充50格包裹,扩充包裹,ANY,50,5,,,,,,,,2,,
6700,满载而归(八),综合,扩充60格包裹,扩充包裹,ANY,60,5,,,,,,,,2,,
