INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
ID,成就名字,成就界面显示类别,成就描述,操作大类,操作子类,目标值,成就点数,获得绑定道具,道具数量,是否叠加,获得属性类型1,属性点数1,获得属性类型2,属性点数2,成就类别,地图名称,获得封号
100,驰骋天涯,综合,进行1次骑乘,骑乘,ANY,1,5,,,,,,,,2,,
200,黄金宝马,综合,骑乘一次黄金宝马,使用道具,黄金宝马,1,5,,,,,,,,2,,
300,默默无闻,综合,获得10点声望,获得声望,声望点数,10,5,,,,,,,,2,,
400,小有名气,综合,获得500点声望,获得声望,声望点数,500,5,,,,,,,,2,,
500,名声在外,综合,获得2000点声望,获得声望,声望点数,2000,5,,,,,,,,2,,
501,仰慕已久,综合,获得5000点声望,获得声望,声望点数,5000,5,,,,,,,,2,,
502,闻名遐迩,综合,获得10000点声望,获得声望,声望点数,10000,5,,,,,,,,2,,
503,名满天下,综合,获得20000点声望,获得声望,声望点数,20000,10,,,,,,,,2,,
504,名垂青史,综合,获得40000点声望,获得声望,声望点数,40000,20,,,,,,,,2,,
600,传音入密,人脉,使用1次传音号角,使用道具,传音号角,1,5,,,,,,,,2,,
700,振聋发聩,人脉,使用10次传音号角,使用道具,传音号角,10,5,,,,,,,,2,,
800,大狮子吼,人脉,使用50次传音号角,使用道具,传音号角,50,10,,,,,,,,2,,
801,千里传音,人脉,使用200次传音号角,使用道具,传音号角,200,20,,,,,,,,2,,
900,萍水相逢,人脉,拥有1个好友,达标,好友,1,5,,,,,,,,2,,
1000,左右逢源,人脉,拥有10个好友,达标,好友,10,5,,,,,,,,2,,
1100,高朋满座,人脉,拥有50个好友,达标,好友,50,10,,,,,,,,2,,
1200,三教九流,人脉,加入1个行会,加入行会,ANY,1,5,,,,,,,,2,,
1300,生死不渝,综合,使用以下所有天空烟花：,使用以下所有道具,姹紫嫣红;红色恋人;蓝色妖姬;红粉佳人;金碧辉煌;心心相映;天若有情;双宿双飞;花开并蒂;地久天长;痴心一片;两心缠绵;真心一世,,10,,,,,,,,3,,
1400,谦谦君子,人脉,对任意玩家使用“作揖”,作揖,ANY,1,5,,,,,,,,2,,
1500,礼尚往来,人脉,进行1次交易,交易,ANY,1,5,,,,,,,,2,,
1600,待价而沽,人脉,进行1次摆摊,摆摊,ANY,1,5,,,,,,,,2,,
1700,百年好合,人脉,完成结婚,结婚,ANY,1,5,,,,,,,,2,,
1800,义结金兰,人脉,完成结义,结义,ANY,1,5,,,,,,,,2,,
1900,萍水相逢,人脉,与一个玩家的友好度达到100点,达标,友好度,100,5,,,,,,,,2,,
2000,君子之交,人脉,与一个玩家的友好度达到200点,达标,友好度,200,5,,,,,,,,2,,
2100,相见恨晚,人脉,与一个玩家的友好度达到500点,达标,友好度,500,5,,,,,,,,2,,
