INT	STRING	STRING	STRING	INT	INT	INT
ID	NPC名字	npc窗口中的点击文字	提示文本	x偏移	y偏移	任务ID
1	屠夫	可接任务	点击此处，接取任务	219	16	31
2	屠夫	可接任务	点击此处，接取任务	219	16	33
3	屠夫	可接任务	点击此处，接取任务	219	16	34
4	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	290	0	31
5	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	300	0	131
6	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	300	0	133
7	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	290	0	33
8	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	290	0	34
9	屠夫	新手任务--屠夫的刀子	点击此处，接取任务	290	0	134
10	屠夫	愿意接受	点击此处，接取任务	225	50	31
11	屠夫	愿意接受	点击此处，接取任务	225	50	131
12	铁匠	可接任务	点击此处，接取任务	219	3	32
13	铁匠	新手任务--屠夫的刀子	点击此处，接取任务	305	5	32
14	铁匠	新手任务--屠夫的刀子	点击此处，接取任务	305	0	132
15	铁匠	麻烦你磨刀	点此处理任务	230	50	32
16	铁匠	麻烦你磨刀	点此处理任务	230	50	132
17	屠夫	刀磨好了，给你	点此处理任务	260	32	32
18	屠夫	刀磨好了，给你	点此处理任务	260	32	33
19	屠夫	刀磨好了，给你	点此处理任务	260	32	133
20	屠夫	交还鹿肉	点此处理任务	230	20	34
21	屠夫	交还鹿肉	点此处理任务	230	20	33
22	屠夫	交还鹿肉	点此处理任务	230	20	134
23	炼药师	可接任务	点击此处，接取任务	219	16	135
24	炼药师	可接任务	点击此处，接取任务	219	16	136
25	炼药师	可接任务	点击此处，接取任务	219	16	35
26	炼药师	可接任务	点击此处，接取任务	219	16	36
27	炼药师	新手任务--鱼人的阴谋	点击此处，接取任务	300	0	35
28	炼药师	新手任务--鱼人的阴谋	点击此处，接取任务	300	0	36
29	炼药师	新手任务--鱼人的阴谋	点击此处，接取任务	300	0	135
30	炼药师	新手任务--鱼人的阴谋	点击此处，接取任务	300	0	136
