#名称,序号,职业,效果类型,效果标志,等级需求1,经验需求1,等级需求2,经验需求2,等级需求3,经验需求3,施法值,默认施法值,CD时间(毫秒),必须先学,同类技能
#战士技能,,,,,,,,,,,,,,,
初级剑法,3,0,0,0,7,80,11,320,16,640,0,0,1200,,
攻杀剑法,7,0,0,5,19,320,22,640,24,1300,0,0,1200,3,40|41
护身真气,42,0,0,0,19,160,23,320,26,640,0,0,1200,7|40|41,
刺杀剑术,12,0,0,13,25,480,27,960,29,1500,0,0,1200,42,
半月弯刀,25,0,0,23,28,640,31,1300,34,2000,0,3,1200,12,43
野蛮冲撞,27,0,0,25,30,240,34,480,39,720,15,15,1200,25|43,
烈火剑法,26,0,0,24,35,160,37,320,40,480,10,7,1200,27,44
战魂真悟,58,0,0,0,30,150,30,300,30,600,0,0,1200,,
破击剑法,59,0,0,0,36,200,36,300,36,500,1,1,1200,,
突斩,62,0,0,25,37,300,37,600,37,1200,2,2,1700,,
破盾斩,60,0,0,0,39,200,39,400,39,800,1,1,1200,,
金刚护体,61,0,0,0,41,400,41,800,41,1500,2,1,1400,,
雷霆剑,44,0,0,24,34,160,36,320,39,480,0,7,1200,27,26
残影刀法,40,0,0,5,15,320,19,640,22,1300,0,0,1200,3,41|7
血影刀法,41,0,0,5,12,320,15,640,19,1300,0,0,1200,3,40|7
抱月刀,43,0,0,23,27,640,30,1300,33,2000,0,3,1200,12,25
擒龙手,74,0,0,0,43,450,45,900,47,1800,12,12,1800,,
移形换影,77,0,11,33,43,400,45,800,47,1500,30,30,1800,,
#法师技能,,,,,,,,,,,,,,,
小火球,1,1,1,1,7,40,11,120,16,240,4,1,1800,,
抗拒火环,8,1,4,6,12,60,15,190,19,320,8,0,1500,1,
诱惑之光,20,1,2,18,13,80,18,160,24,320,3,3,1800,8,
地狱火焰,9,1,5,7,16,80,21,320,26,640,10,10,1800,20,
雷电术,11,1,7,9,17,90,20,240,23,400,12,6,2200,9,49
瞬间移动,21,1,4,19,19,80,22,160,25,320,10,8,1700,11|49,
火炎刀,5,1,1,3,19,640,23,1100,25,2000,3,5,1800,21,50
爆裂火焰,23,1,2,21,22,240,27,480,31,1500,15,10,1800,5|50,
火墙,22,1,4,20,24,320,29,960,33,2000,20,25,2400,23,
疾光电影,10,1,6,8,26,240,29,480,32,960,30,30,2200,22,51
地狱雷光,24,1,4,22,30,320,32,640,34,960,35,20,1800,10,52
魔法盾,31,1,4,29,31,320,34,640,38,960,20,30,1200,24|52,
法之魄,68,1,0,0,30,150,30,300,30,600,0,0,1200,,
圣言术,32,1,2,30,32,320,35,640,39,960,50,40,2400,31,
冰咆哮,33,1,2,31,35,320,37,640,40,960,12,30,1800,32,53
风影盾,70,1,4,29,39,300,41,600,43,1200,40,50,1700,,
兽灵术,69,1,2,18,34,200,38,350,41,800,4,10,1200,,
化身蝙蝠,35,1,11,33,42,640,42,1100,42,1800,30,70,1800,,
狂龙紫电,71,1,7,9,40,450,41,900,43,1800,20,12,1800,,
冰箭术,49,1,7,9,17,90,20,240,23,400,12,6,2200,9,11
风火轮,50,1,4,29,21,640,25,1100,28,2000,3,5,1800,21,5
冰龙破,51,1,6,8,26,240,29,480,32,960,30,30,2200,22,10
玄冰刃,52,1,6,8,26,240,29,480,32,960,30,30,2200,10|51,24
五雷轰,53,1,2,31,34,320,36,640,39,960,12,30,1800,32,33
冰旋风,54,1,2,31,37,320,39,640,42,960,12,30,1800,53,
魔魂术,76,1,0,0,43,450,45,900,47,1800,0,0,1200,,
流星火雨,73,1,0,0,43,4500,45,900,47,1800,42,39,2400,,
#道士技能,,,,,,,,,,,,,,,
治疗术,2,2,2,2,7,40,11,120,16,240,7,0,1600,,
精神战法,4,2,0,0,9,80,13,320,19,640,0,0,1200,2,
施毒术,6,2,2,4,14,80,17,160,20,320,4,0,1600,4,45
灵魂道符,13,2,8,10,18,160,21,320,24,480,5,4,1800,6|45,
骷髅召唤术,17,2,4,15,19,160,23,320,26,640,16,8,1700,13,46
隐身术,18,2,4,16,20,240,23,480,26,720,5,0,1700,17|46,47
集体隐身术,19,2,8,17,21,160,25,320,29,640,10,0,1700,18|47,
幽灵盾,14,2,9,11,22,400,24,800,26,1200,15,0,1600,19,
神圣战甲术,15,2,9,12,25,400,27,800,29,1200,15,0,1600,14,
狮子吼,37,2,4,6,26,60,30,190,35,320,8,0,1500,15,
困魔咒,16,2,10,14,28,240,30,480,32,960,10,5,1700,37,48
群体治愈术,29,2,2,27,33,320,35,640,38,960,12,30,1600,16|48,
召唤神兽,30,2,4,28,35,160,37,320,40,640,16,24,2400,29,
诅咒术,45,2,0,0,14,640,17,1280,20,2560,4,0,1600,4,6
赶尸,46,2,0,0,19,100,23,200,26,300,16,8,1700,13,17
替身法符,47,2,0,0,20,190,23,380,26,560,4,0,1800,17|46,18
灵魂墙,48,2,10,14,28,240,30,480,32,960,10,5,1700,37,16
道心清明,63,2,0,0,30,150,30,300,30,600,0,0,1200,,
神光术,64,2,9,11,36,350,36,600,36,1200,16,10,1400,,
解毒术,65,2,9,12,38,350,38,700,38,1500,20,10,1500,,
强化骷髅术,66,2,4,15,42,300,42,600,42,1300,30,20,1500,,
幽冥火咒,67,2,8,10,39,400,41,800,43,1600,10,8,1800,,
心灵召唤,72,2,8,10,43,450,45,900,47,1800,30,10,1800,,
遁地,75,2,8,10,43,450,45,900,47,1800,40,40,1800,,
