#地图ID,矿石名,最小纯度,最大纯度,概率
54, 黑铁矿石, 10, 25, 20
54, 金矿, 5, 10, 2
54, 铁矿, 3, 10, 20
54, 银矿, 5, 10, 8
54, 铜矿, 5, 10, 8
55, 黑铁矿石, 10, 25, 40
55, 金矿, 5, 10, 10
55, 铁矿, 3, 10, 40
55, 银矿, 5, 10, 12
55, 铜矿, 5, 10, 20
56, 黑铁矿石, 10, 25, 40
56, 金矿, 5, 10, 10
56, 铁矿, 3, 10, 40
56, 银矿, 5, 10, 12
56, 铜矿, 5, 10, 20
57, 黑铁矿石, 10, 25, 40
57, 金矿, 5, 10, 10
57, 铁矿, 3, 10, 40
57, 银矿, 5, 10, 12
57, 铜矿, 5, 10, 20
58, 黑铁矿石, 10, 25, 40
58, 金矿, 5, 10, 10
58, 铁矿, 3, 10, 40
58, 银矿, 5, 10, 12
58, 铜矿, 5, 10, 20
59, 黑铁矿石, 10, 25, 40
59, 金矿, 5, 10, 10
59, 铁矿, 3, 10, 40
59, 银矿, 5, 10, 12
59, 铜矿, 5, 10, 20
60, 黑铁矿石, 10, 25, 40
60, 金矿, 5, 10, 10
60, 铁矿, 3, 10, 40
60, 银矿, 5, 10, 12
60, 铜矿, 5, 10, 20
61, 黑铁矿石, 10, 25, 40
61, 金矿, 5, 10, 10
61, 铁矿, 3, 10, 40
61, 银矿, 5, 10, 12
61, 铜矿, 5, 10, 20
62, 黑铁矿石, 10, 25, 40
62, 金矿, 5, 10, 10
62, 铁矿, 3, 10, 40
62, 银矿, 5, 10, 12
62, 铜矿, 5, 10, 20
63, 黑铁矿石, 10, 25, 40
63, 金矿, 5, 10, 10
63, 铁矿, 3, 10, 40
63, 银矿, 5, 10, 12
63, 铜矿, 5, 10, 20
64, 黑铁矿石, 10, 25, 40
64, 金矿, 5, 10, 10
64, 铁矿, 3, 10, 40
64, 银矿, 5, 10, 12
64, 铜矿, 5, 10, 20
65, 黑铁矿石, 10, 25, 40
65, 金矿, 5, 10, 10
65, 铁矿, 3, 10, 40
65, 银矿, 5, 10, 12
65, 铜矿, 5, 10, 20
16, 黑铁矿石, 10, 25, 40
16, 金矿, 5, 10, 10
16, 铁矿, 3, 10, 40
16, 银矿, 5, 10, 12
16, 铜矿, 5, 10, 20
