#Level ,ACMIN,ACMAX,MACMIN,MACMAX,DCMIN,DCMAX,MCMIN,MCMAX,SCMIN,SCMAX,HP,MP,背包,负重,腕力,命中,敏捷,魔法恢复,体力恢复,魔法躲避,魔法命中,中毒躲避,中毒命中,活力,升级经验
1,0,0,0,0,0,1,0,1,0,0,16,18,50,15,12,5,15,2,1,1,0,0,0,0,100
2,0,0,0,0,0,1,0,1,0,0,18,24,51,15,12,5,15,2,1,1,0,0,0,0,200
3,0,0,0,0,0,1,0,1,0,0,20,30,52,15,12,5,15,2,1,1,0,0,0,0,300
4,0,0,0,0,0,1,0,1,0,0,22,38,53,15,12,5,15,3,1,1,0,0,0,0,400
5,0,0,0,0,0,1,0,1,0,0,25,46,55,15,12,5,15,3,1,1,0,0,0,0,600
6,0,0,0,0,0,1,0,1,0,0,27,55,57,15,12,5,15,4,1,1,0,0,0,0,900
7,0,0,0,0,0,1,0,1,0,0,30,65,60,15,12,5,15,4,1,1,0,0,0,0,1200
8,0,0,0,0,0,1,0,1,0,0,33,76,63,16,13,5,15,5,1,1,0,0,0,0,1700
9,0,0,0,0,0,1,0,1,0,0,36,88,66,16,13,5,15,5,1,1,0,0,0,0,2500
10,0,0,0,0,0,1,0,1,0,0,39,101,70,16,13,5,15,6,1,1,0,0,0,0,6000
11,0,0,0,0,0,1,0,1,0,0,42,115,74,16,13,5,15,7,1,1,0,0,0,0,8000
12,0,0,0,0,0,1,0,1,0,0,45,129,79,16,14,5,15,8,1,1,0,0,0,0,10000
13,0,0,0,0,0,1,0,1,0,0,49,145,84,17,14,5,15,9,1,1,0,0,0,0,15000
14,0,0,0,0,1,2,1,2,0,0,52,161,89,17,14,5,15,9,1,1,0,0,0,0,30000
15,0,0,0,0,1,2,1,2,0,0,56,178,95,17,14,5,15,10,1,1,0,0,0,0,40000
16,0,0,0,0,1,2,1,2,0,0,60,196,101,18,15,5,15,11,1,1,0,0,0,0,50000
17,0,0,0,0,1,2,1,2,0,0,64,215,108,18,15,5,15,12,1,1,0,0,0,0,70000
18,0,0,0,0,1,2,1,2,0,0,68,235,115,18,16,5,15,14,1,1,0,0,0,0,100000
19,0,0,0,0,1,2,1,2,0,0,72,255,122,19,16,5,15,15,1,1,0,0,0,0,120000
20,0,0,0,0,1,2,1,2,0,0,77,277,130,19,16,5,15,16,2,1,0,0,0,0,140000
21,0,0,0,0,2,3,2,3,0,0,81,299,138,19,17,5,15,17,2,1,0,0,0,0,250000
22,0,0,0,0,2,3,2,3,0,0,86,323,147,20,17,5,15,18,2,1,0,0,0,0,300000
23,0,0,0,0,2,3,2,3,0,0,91,347,156,20,18,5,15,20,2,1,0,0,0,0,350000
24,0,0,0,0,2,3,2,3,0,0,96,372,165,21,18,5,15,21,2,1,0,0,0,0,400000
25,0,0,0,0,2,3,2,3,0,0,101,398,175,21,19,5,15,23,2,1,0,0,0,0,500000
26,0,0,0,0,2,3,2,3,0,0,106,425,185,22,20,5,15,24,2,1,0,0,0,0,700000
27,0,0,0,0,2,3,2,3,0,0,111,453,196,22,20,5,15,26,2,1,0,0,0,0,1000000
28,0,0,0,0,3,4,3,4,0,0,117,481,207,23,21,5,15,27,2,1,0,0,0,0,1400000
29,0,0,0,0,3,4,3,4,0,0,122,511,218,23,21,5,15,29,2,1,0,0,0,0,1800000
30,0,0,0,0,3,4,3,4,0,0,128,541,230,24,22,5,15,31,2,1,0,0,0,0,2000000
