#Level ,ACMIN,ACMAX,MACMIN,MACMAX,DCMIN,DCMAX,MCMIN,MCMAX,SCMIN,SCMAX,HP,MP,背包,负重,腕力,命中,敏捷,魔法恢复,体力恢复,魔法躲避,魔法命中,中毒躲避,中毒命中,活力,升级经验
1,0,0,0,1,0,1,0,0,0,1,17,13,50,15,12,5,18,1,1,1,0,0,0,0,100
2,0,0,0,1,0,1,0,0,0,1,20,14,51,15,12,5,18,1,1,1,0,0,0,0,200
3,0,0,0,1,0,1,0,0,0,1,23,15,52,15,12,5,18,1,1,1,0,0,0,0,300
4,0,0,0,2,0,1,0,0,0,1,27,17,54,15,12,5,18,1,1,1,0,0,0,0,400
5,0,0,0,2,0,1,0,0,0,1,31,20,56,15,13,5,18,2,1,1,0,0,0,0,600
6,0,0,0,2,0,1,0,0,0,1,35,23,59,16,13,5,18,2,1,1,0,0,0,0,900
7,0,0,0,2,0,1,0,0,0,1,40,26,62,16,13,5,18,2,1,1,0,0,0,0,1200
8,0,0,0,2,0,1,0,0,0,1,45,31,66,16,14,5,18,2,1,1,0,0,0,0,1700
9,0,0,0,3,0,1,0,0,0,1,50,35,70,17,14,5,18,2,1,1,0,0,0,0,2500
10,0,0,0,3,0,1,0,0,0,1,56,41,75,17,14,5,18,3,1,1,0,0,0,0,6000
11,0,0,0,3,0,1,0,0,0,1,62,46,80,17,15,5,18,3,1,1,0,0,0,0,8000
12,0,0,0,3,0,1,0,0,0,1,68,53,86,18,15,5,18,3,1,1,0,0,0,0,10000
13,0,0,0,3,0,1,0,0,0,1,75,59,92,18,16,5,18,4,2,1,0,0,0,0,15000
14,0,0,1,3,1,2,0,0,1,2,82,67,99,19,17,5,18,4,2,1,0,0,0,0,30000
15,0,0,1,3,1,2,0,0,1,2,89,75,106,19,17,5,18,5,2,1,0,0,0,0,40000
16,0,0,1,4,1,2,0,0,1,2,97,83,114,20,18,5,18,5,2,1,0,0,0,0,50000
17,0,0,1,4,1,2,0,0,1,2,105,92,122,21,19,5,18,6,2,1,0,0,0,0,70000
18,0,0,1,4,1,2,0,0,1,2,113,102,131,21,20,5,18,6,2,1,0,0,0,0,100000
19,0,0,1,4,1,2,0,0,1,2,122,112,140,22,21,5,18,7,2,1,0,0,0,0,120000
20,0,0,1,4,1,2,0,0,1,2,131,123,150,23,22,5,18,7,2,1,0,0,0,0,140000
21,0,0,2,5,2,3,0,0,2,3,140,134,160,24,22,5,18,8,2,1,0,0,0,0,250000
22,0,0,2,5,2,3,0,0,2,3,150,146,171,25,24,5,18,9,3,1,0,0,0,0,300000
23,0,0,2,5,2,3,0,0,2,3,160,158,182,26,25,5,18,9,3,1,0,0,0,0,350000
24,0,0,2,5,2,3,0,0,2,3,170,171,194,27,26,5,18,10,3,1,0,0,0,0,400000
25,0,0,2,5,2,3,0,0,2,3,181,185,206,27,27,5,18,11,3,1,0,0,0,0,500000
26,0,0,2,5,2,3,0,0,2,3,192,199,219,29,28,5,18,12,3,1,0,0,0,0,700000
27,0,0,2,5,2,3,0,0,2,3,203,213,232,30,29,5,18,12,3,1,0,0,0,0,1000000
28,0,0,3,6,3,4,0,0,3,4,215,229,246,31,31,5,18,13,3,1,0,0,0,0,1400000
29,0,0,3,6,3,4,0,0,3,4,227,244,260,32,32,5,18,14,4,1,0,0,0,0,1800000
30,0,0,3,6,3,4,0,0,3,4,239,261,275,33,33,5,18,15,4,1,0,0,0,0,2000000
31,0,0,3,6,3,4,0,0,3,4,252,277,290,34,35,5,18,16,4,1,0,0,0,0,2400000
32,0,0,3,6,3,4,0,0,3,4,265,295,306,35,36,5,18,17,4,1,0,0,0,0,2800000
33,0,0,3,7,3,4,0,0,3,4,278,312,322,37,38,5,18,18,4,1,0,0,0,0,3200000
34,0,0,3,7,3,4,0,0,3,4,292,331,339,38,40,5,18,19,4,1,0,0,0,0,3600000
35,0,0,4,7,4,5,0,0,4,5,306,350,356,39,41,5,18,20,5,1,0,0,0,0,4000000
36,0,0,4,7,4,5,0,0,4,5,320,368,374,41,43,5,18,21,5,1,0,0,0,0,4800000
37,0,0,4,7,4,5,0,0,4,5,335,389,392,42,45,5,18,22,5,1,0,0,0,0,5600000
38,0,0,4,7,4,5,0,0,4,5,350,410,411,44,46,5,18,23,5,1,0,0,0,0,8200000
39,0,0,4,7,4,5,0,0,4,5,365,431,430,45,48,5,18,24,5,1,0,0,0,0,9000000
40,0,0,4,8,4,5,0,0,4,5,381,453,450,47,50,5,18,26,6,1,0,0,0,0,12000000
41,0,0,4,8,4,5,0,0,4,5,397,475,470,49,52,5,18,27,6,1,0,0,0,0,16000000
42,0,0,5,8,5,6,0,0,5,6,413,498,491,50,54,5,18,28,6,1,0,0,0,0,30000000
43,0,0,5,8,5,6,0,0,5,6,430,521,512,52,56,5,18,30,6,1,0,0,0,0,50000000
44,0,0,5,8,5,6,0,0,5,6,447,545,534,54,58,5,18,31,6,1,0,0,0,0,80000000
45,0,0,5,9,5,6,0,0,5,6,464,570,556,55,60,5,18,32,7,1,0,0,0,0,120000000
46,0,0,5,9,5,6,0,0,5,6,482,595,579,57,62,5,18,34,7,1,0,0,0,0,480000000
47,0,0,5,9,5,6,0,0,5,6,500,620,602,59,65,5,18,35,7,1,0,0,0,0,510000000
48,0,0,5,9,5,6,0,0,5,6,518,647,626,61,67,5,18,36,7,1,0,0,0,0,560000000
49,0,0,6,9,6,7,0,0,6,7,537,673,650,63,69,5,18,38,8,1,0,0,0,0,560000000
