#[地图号:x,y|标识]脚本page页，只有 enter 和 leave 标识，达坐标和离开坐标
[16:777,393|enter]@taskMap.start27
[258:126,67|enter]@horserace.start1
[258:129,70|enter]@horserace.start2
[258:132,73|enter]@horserace.start3
[258:135,76|enter]@horserace.start4
[258:197,97|enter]@horserace.endpoint1
[258:198,96|enter]@horserace.endpoint2
[258:198,97|enter]@horserace.endpoint3
[258:198,98|enter]@horserace.endpoint4
[258:199,95|enter]@horserace.endpoint5
[258:199,96|enter]@horserace.endpoint6
[258:199,97|enter]@horserace.endpoint7
[258:199,98|enter]@horserace.endpoint8
[258:199,99|enter]@horserace.endpoint9
[258:200,96|enter]@horserace.endpoint10
[258:200,97|enter]@horserace.endpoint11
[258:200,98|enter]@horserace.endpoint12
[258:200,99|enter]@horserace.endpoint13
[258:200,100|enter]@horserace.endpoint14
[258:201,97|enter]@horserace.endpoint15
[258:201,98|enter]@horserace.endpoint16
[258:201,99|enter]@horserace.endpoint17
[258:201,100|enter]@horserace.endpoint18
[258:201,101|enter]@horserace.endpoint19
[258:202,97|enter]@horserace.endpoint20
[258:202,98|enter]@horserace.endpoint21
[258:202,99|enter]@horserace.endpoint22
[258:202,100|enter]@horserace.endpoint23
[258:202,101|enter]@horserace.endpoint24
[258:203,99|enter]@horserace.endpoint25
[258:203,100|enter]@horserace.endpoint26
[258:203,101|enter]@horserace.endpoint27
